"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen1Km_2";"Binnen3Km_3";"Binnen5Km_4";"AfstandTotHuisartsenpost_5";"AfstandTotApotheek_6";"AfstandTotZiekenhuis_7";"Binnen5Km_8";"Binnen10Km_9";"Binnen20Km_10";"AfstandTotZiekenhuis_11";"Binnen5Km_12";"Binnen10Km_13";"Binnen20Km_14";"AfstandTotConsultatiebureau_15";"AfstandTotFysiotherapeut_16";"Binnen1Km_17";"Binnen3Km_18";"Binnen5Km_19";"AfstandTotGroteSupermarkt_20";"Binnen1Km_21";"Binnen3Km_22";"Binnen5Km_23";"AfstandTotOvDagelLevensmiddelen_24";"Binnen1Km_25";"Binnen3Km_26";"Binnen5Km_27";"AfstandTotWarenhuis_28";"Binnen5Km_29";"Binnen10Km_30";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen1Km_33";"Binnen3Km_34";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen1Km_37";"Binnen3Km_38";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen1Km_41";"Binnen3Km_42";"Binnen5Km_43";"AfstandTotHotelED_44";"Binnen5Km_45";"Binnen10Km_46";"Binnen20Km_47";"AfstandTotKinderdagverblijf_48";"Binnen1Km_49";"Binnen3Km_50";"Binnen5Km_51";"AfstandTotBuitenschoolseOpvang_52";"Binnen1Km_53";"Binnen3Km_54";"Binnen5Km_55";"AfstandTotSchool_56";"Binnen1Km_57";"Binnen3Km_58";"Binnen5Km_59";"AfstandTotSchool_60";"Binnen3Km_61";"Binnen5Km_62";"Binnen10Km_63";"AfstandTotSchool_64";"Binnen3Km_65";"Binnen5Km_66";"Binnen10Km_67";"AfstandTotSchool_68";"Binnen3Km_69";"Binnen5Km_70";"Binnen10Km_71";"Binnen10Km_72";"Binnen20Km_73";"Binnen50Km_74";"Binnen10Km_75";"Binnen20Km_76";"Binnen50Km_77";"Binnen10Km_78";"Binnen20Km_79";"Binnen50Km_80";"Binnen10Km_81";"Binnen20Km_82";"Binnen50Km_83";"Binnen10Km_84";"Binnen20Km_85";"Binnen50Km_86";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotParkOfPlantsoen_88";"AfstandTotDagrecreatiefTerrein_89";"AfstandTotBos_90";"AfstandTotOpenNatTerreinTotaal_91";"AfstandTotOpenDroogNatTerrein_92";"AfstandTotOpenNatNatuurlijkTerrein_93";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotVolkstuin_96";"AfstandTotVerblijfsrecreatiefTerrein_97";"AfstandTotBegraafplaats_98";"AfstandTotRecreatiefBinnenwater_99";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102";"AfstandTotBibliotheek_103";"AfstandTotZwembad_104";"AfstandTotKunstijsbaan_105";"AfstandTotMuseum_106";"Binnen5Km_107";"Binnen10Km_108";"Binnen20Km_109";"AfstandTotPodiumkunstenTotaal_110";"Binnen5Km_111";"Binnen10Km_112";"Binnen20Km_113";"AfstandTotPoppodium_114";"AfstandTotBioscoop_115";"Binnen5Km_116";"Binnen10Km_117";"Binnen20Km_118";"AfstandTotSauna_119";"AfstandTotZonnebank_120";"AfstandTotAttractie_121";"Binnen10Km_122";"Binnen20Km_123";"Binnen50Km_124";"AfstandTotBrandweerkazerne_125"
"15";"NL01  ";"2021JJ00";"     1.0";"     1.5";"     8.3";"    17.6";"     6.5";"     1.2";"     4.8";"     1.2";"     3.0";"     8.8";"     7.1";"     0.7";"     1.7";"     4.3";"       .";"       .";"       .";"       .";"       .";"     0.9";"     2.0";"    11.6";"    24.3";"     0.8";"     8.5";"    50.9";"   106.0";"     2.6";"     2.5";"     6.8";"    19.8";"     1.3";"     4.1";"    27.4";"    55.8";"     0.8";"     6.8";"    45.2";"    93.4";"     0.8";"    10.1";"    70.6";"   146.8";"     2.5";"    18.3";"    42.3";"    98.5";"     0.7";"     3.3";"    20.8";"    45.8";"     0.7";"     2.4";"    15.1";"    33.8";"     0.7";"     1.9";"    10.7";"    23.1";"     2.5";"     3.8";"     8.0";"    20.1";"     2.6";"     2.9";"     6.2";"    15.7";"     3.4";"     2.0";"     4.2";"    10.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.8";"     5.1";"    10.7";"     2.0";"     3.2";"    18.5";"     4.1";"     3.5";"     8.3";"    21.8";"     4.8";"     3.3";"     7.4";"    17.1";"    10.1";"     6.5";"     1.3";"     2.9";"     7.2";"     7.6";"     4.0";"     5.2";"     3.4";"     9.9";"    44.7";"     2.1"
"31";"LD01  ";"2021JJ00";"     1.5";"     1.0";"     4.5";"     7.8";"     9.3";"     1.8";"     8.8";"     0.5";"     1.0";"     2.2";"    10.8";"     0.4";"     0.6";"     1.3";"       .";"       .";"       .";"       .";"       .";"     1.3";"     1.4";"     6.5";"    11.2";"     1.2";"     4.5";"    21.0";"    33.9";"     4.1";"     1.2";"     2.3";"     6.7";"     2.1";"     2.5";"    13.9";"    21.4";"     1.3";"     3.9";"    20.5";"    32.8";"     1.2";"     6.2";"    33.7";"    53.4";"     3.0";"     4.8";"     9.5";"    29.2";"     0.9";"     2.1";"    10.1";"    19.5";"     1.1";"     1.6";"     7.8";"    15.2";"     0.9";"     1.4";"     5.7";"    10.8";"     3.5";"     2.8";"     5.0";"     8.4";"     3.6";"     2.2";"     3.9";"     6.6";"     5.7";"     1.3";"     2.2";"     3.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.8";"     7.0";"    15.7";"     2.6";"     4.7";"    25.9";"     4.7";"     1.4";"     2.6";"     8.8";"     7.5";"     1.2";"     1.7";"     3.8";"    18.0";"    10.3";"     0.7";"     1.0";"     2.1";"    11.9";"     8.8";"     7.0";"     1.5";"     4.3";"    22.5";"     2.7"
"47";"LD02  ";"2021JJ00";"     1.2";"     1.0";"     4.7";"     8.7";"     7.8";"     1.4";"     5.2";"     0.8";"     1.7";"     5.0";"     9.1";"     0.4";"     0.7";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.0";"     1.6";"     7.4";"    13.9";"     0.9";"     4.8";"    23.2";"    42.0";"     2.7";"     1.4";"     3.7";"    11.8";"     1.7";"     2.0";"    11.0";"    19.5";"     0.9";"     4.1";"    22.2";"    40.4";"     1.0";"     5.1";"    27.7";"    50.3";"     3.1";"     3.9";"    10.7";"    34.6";"     0.8";"     2.3";"    11.9";"    24.0";"     0.8";"     1.9";"    10.2";"    20.8";"     0.8";"     1.7";"     8.3";"    16.4";"     2.6";"     2.8";"     5.2";"    10.8";"     2.7";"     2.3";"     4.3";"     8.9";"     3.8";"     1.3";"     2.5";"     5.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     4.2";"    12.2";"     2.0";"     3.7";"    22.5";"     4.9";"     1.3";"     3.5";"    12.7";"     5.4";"     1.6";"     3.1";"     8.3";"    13.2";"     8.0";"     0.6";"     1.4";"     3.9";"    10.0";"     4.3";"     5.9";"     2.0";"     5.5";"    33.6";"     2.2"
"63";"LD03  ";"2021JJ00";"     0.8";"     1.9";"    12.1";"    26.5";"     5.4";"     1.0";"     3.6";"     1.6";"     4.4";"    13.1";"     5.5";"     1.0";"     2.5";"     6.8";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.6";"    16.0";"    35.1";"     0.7";"    12.4";"    79.8";"   173.1";"     2.3";"     3.5";"     9.9";"    28.5";"     1.2";"     5.6";"    41.0";"    87.6";"     0.7";"     9.1";"    66.5";"   144.1";"     0.7";"    14.8";"   112.2";"   243.3";"     2.2";"    32.4";"    73.6";"   159.0";"     0.5";"     4.6";"    31.3";"    70.9";"     0.6";"     3.2";"    21.3";"    49.5";"     0.6";"     2.3";"    14.4";"    32.4";"     2.1";"     5.2";"    11.5";"    30.9";"     2.2";"     3.8";"     8.6";"    23.6";"     2.7";"     2.8";"     6.3";"    16.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.8";"     5.0";"     9.4";"     1.7";"     2.7";"    15.7";"     3.6";"     5.8";"    13.4";"    32.8";"     3.9";"     5.3";"    12.3";"    27.6";"     7.4";"     5.1";"     1.9";"     4.3";"    10.8";"     5.9";"     2.9";"     4.5";"     4.6";"    13.8";"    58.5";"     1.8"
"79";"LD04  ";"2021JJ00";"     1.0";"     1.1";"     5.4";"    10.9";"     6.7";"     1.4";"     5.0";"     0.9";"     2.1";"     5.9";"     7.0";"     0.5";"     1.1";"     2.7";"       .";"       .";"       .";"       .";"       .";"     0.9";"     1.7";"     8.4";"    16.6";"     0.8";"     5.3";"    27.0";"    51.8";"     2.7";"     1.8";"     4.8";"    14.1";"     0.9";"     3.5";"    19.2";"    36.0";"     0.7";"     5.5";"    31.3";"    59.9";"     0.8";"     6.3";"    36.7";"    68.7";"     2.2";"     7.1";"    18.3";"    57.7";"     0.7";"     2.0";"    11.0";"    23.0";"     0.7";"     1.7";"     9.4";"    19.7";"     0.7";"     1.4";"     7.0";"    14.5";"     2.7";"     2.3";"     4.5";"    10.7";"     2.8";"     1.8";"     3.6";"     8.7";"     3.4";"     1.2";"     2.4";"     5.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.9";"     5.5";"     9.6";"     2.2";"     3.4";"    17.4";"     4.0";"     1.5";"     3.9";"    12.0";"     5.0";"     1.4";"     3.2";"     8.2";"     9.3";"     6.3";"     1.0";"     2.0";"     4.9";"     7.3";"     3.9";"     5.3";"     2.8";"     8.1";"    34.9";"     2.2"
"95";"PV20  ";"2021JJ00";"     1.3";"     1.3";"     7.0";"    12.7";"     9.1";"     1.6";"     8.0";"     0.7";"     1.4";"     2.6";"    10.2";"     0.5";"     0.9";"     1.6";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.8";"     9.3";"    16.6";"     1.0";"     5.9";"    32.7";"    53.9";"     3.7";"     1.9";"     3.7";"     9.1";"     1.5";"     4.3";"    26.6";"    41.4";"     1.1";"     6.2";"    37.0";"    59.0";"     1.0";"    10.3";"    62.1";"    99.1";"     2.6";"     8.3";"    14.8";"    36.6";"     0.8";"     2.7";"    15.3";"    30.9";"     1.0";"     1.8";"    10.6";"    21.9";"     0.9";"     1.4";"     6.5";"    12.9";"     2.9";"     3.9";"     7.5";"    12.6";"     2.9";"     3.0";"     5.8";"    10.0";"     4.5";"     2.0";"     3.6";"     5.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     4.9";"    16.3";"     1.9";"     4.4";"    18.5";"     4.2";"     1.9";"     3.5";"    10.9";"     6.2";"     2.3";"     3.2";"     5.9";"    17.4";"    10.6";"     1.2";"     1.7";"     3.1";"    13.2";"     6.7";"     7.0";"     1.1";"     3.6";"    18.7";"     2.5"
"111";"PV21  ";"2021JJ00";"     1.6";"     0.9";"     3.7";"     5.9";"    10.7";"     1.9";"    10.4";"     0.4";"     0.6";"     1.6";"    12.8";"     0.3";"     0.4";"     0.9";"       .";"       .";"       .";"       .";"       .";"     1.4";"     1.4";"     5.7";"     8.8";"     1.3";"     4.3";"    17.4";"    25.6";"     4.3";"     0.9";"     1.6";"     5.1";"     2.2";"     2.1";"     9.9";"    14.1";"     1.4";"     3.0";"    13.8";"    20.3";"     1.3";"     4.7";"    23.0";"    32.8";"     3.1";"     3.5";"     7.2";"    23.4";"     0.8";"     1.7";"     7.6";"    13.5";"     1.1";"     1.5";"     6.6";"    11.5";"     0.8";"     1.4";"     5.5";"     9.7";"     3.6";"     2.7";"     4.3";"     6.8";"     3.8";"     2.0";"     3.1";"     5.0";"     6.2";"     1.2";"     1.9";"     3.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.3";"     8.8";"    17.8";"     3.1";"     4.5";"    18.7";"     4.2";"     1.6";"     2.7";"     8.8";"     8.8";"     0.7";"     1.0";"     2.4";"    14.2";"    11.7";"     0.5";"     0.6";"     1.3";"    11.8";"    11.3";"     8.3";"     1.4";"     3.7";"    19.4";"     2.6"
"127";"PV22  ";"2021JJ00";"     1.7";"     0.7";"     2.5";"     4.4";"     7.7";"     1.8";"     7.8";"     0.5";"     0.9";"     2.4";"     8.9";"     0.3";"     0.6";"     1.3";"       .";"       .";"       .";"       .";"       .";"     1.4";"     1.2";"     4.3";"     8.0";"     1.2";"     3.2";"    11.7";"    21.2";"     4.4";"     0.8";"     1.8";"     5.8";"     2.6";"     0.9";"     3.9";"     7.1";"     1.2";"     2.3";"     9.8";"    18.0";"     1.2";"     3.3";"    14.3";"    26.4";"     3.4";"     2.3";"     6.4";"    27.9";"     0.9";"     1.9";"     7.2";"    14.0";"     1.1";"     1.6";"     6.3";"    12.0";"     1.0";"     1.3";"     4.9";"     9.7";"     4.2";"     1.7";"     3.0";"     5.5";"     4.2";"     1.5";"     2.7";"     4.9";"     6.5";"     0.5";"     1.0";"     1.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.9";"     7.2";"    12.3";"     2.7";"     5.2";"    44.3";"     5.9";"     0.6";"     1.5";"     6.4";"     7.1";"     0.5";"     1.0";"     3.1";"    23.8";"     8.1";"     0.4";"     0.7";"     1.9";"    10.5";"     8.1";"     5.3";"     1.9";"     6.0";"    31.1";"     3.1"
"143";"PV23  ";"2021JJ00";"     1.2";"     1.0";"     5.4";"     9.6";"     8.9";"     1.4";"     5.1";"     0.8";"     1.4";"     4.6";"     8.9";"     0.4";"     0.6";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.6";"     8.2";"    14.7";"     0.9";"     5.1";"    25.2";"    43.4";"     2.6";"     1.4";"     3.4";"    11.1";"     1.7";"     2.0";"    11.5";"    19.2";"     1.0";"     4.1";"    23.3";"    39.8";"     0.9";"     5.1";"    29.5";"    50.7";"     2.9";"     3.6";"     8.7";"    30.4";"     0.8";"     2.2";"    11.4";"    22.0";"     0.8";"     1.9";"     9.9";"    19.0";"     0.8";"     1.8";"     8.5";"    15.9";"     2.5";"     3.2";"     5.8";"    10.4";"     2.7";"     2.5";"     4.6";"     8.5";"     4.1";"     1.5";"     2.7";"     4.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     3.8";"     9.7";"     1.9";"     4.0";"    20.1";"     4.4";"     1.1";"     3.0";"    11.5";"     4.8";"     1.7";"     3.0";"     7.8";"    13.4";"     7.4";"     0.6";"     1.2";"     2.8";"    12.6";"     4.0";"     6.0";"     2.1";"     6.2";"    29.2";"     2.3"
"159";"PV24  ";"2021JJ00";"     1.3";"     0.8";"     4.5";"     8.7";"     5.4";"     1.5";"     5.0";"     0.7";"     1.3";"     2.8";"    10.6";"     0.4";"     0.7";"     1.2";"       .";"       .";"       .";"       .";"       .";"     1.0";"     1.3";"     7.3";"    13.8";"     1.1";"     2.9";"    17.9";"    32.7";"     3.2";"     1.1";"     2.0";"     5.2";"     2.2";"     0.6";"     4.2";"     8.2";"     1.1";"     2.9";"    19.7";"    38.0";"     1.1";"     3.3";"    24.4";"    48.2";"     3.8";"     2.0";"     4.6";"    12.0";"     0.8";"     2.8";"    17.6";"    37.1";"     0.8";"     2.6";"    16.3";"    34.3";"     0.8";"     2.0";"    10.8";"    21.3";"     2.2";"     3.0";"     5.2";"     9.4";"     2.3";"     2.6";"     4.5";"     8.0";"     3.7";"     1.4";"     2.6";"     5.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.8";"     6.5";"    11.2";"     2.6";"     3.4";"    22.1";"    11.9";"     0.2";"     0.6";"     4.8";"     5.3";"     1.0";"     1.5";"     3.9";"    10.6";"    13.5";"     0.3";"     0.5";"     1.5";"    11.0";"     4.7";"     6.1";"     2.0";"     3.8";"    35.4";"     2.7"
"175";"PV25  ";"2021JJ00";"     1.2";"     1.0";"     4.3";"     8.2";"     7.7";"     1.4";"     5.3";"     0.8";"     1.9";"     5.6";"     8.8";"     0.4";"     0.7";"     1.9";"       .";"       .";"       .";"       .";"       .";"     1.0";"     1.6";"     7.0";"    13.5";"     0.9";"     5.1";"    23.2";"    43.1";"     2.7";"     1.5";"     4.2";"    13.6";"     1.5";"     2.4";"    12.0";"    22.0";"     0.9";"     4.4";"    22.2";"    41.2";"     1.0";"     5.4";"    27.4";"    50.6";"     3.0";"     4.4";"    13.1";"    41.6";"     0.8";"     2.2";"    11.0";"    22.4";"     0.8";"     1.8";"     9.2";"    19.1";"     0.8";"     1.7";"     7.7";"    15.8";"     2.7";"     2.6";"     4.9";"    11.2";"     2.8";"     2.2";"     4.0";"     9.4";"     3.7";"     1.2";"     2.4";"     5.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     3.9";"    13.8";"     1.9";"     3.5";"    23.9";"     3.7";"     1.6";"     4.4";"    14.9";"     5.7";"     1.6";"     3.5";"     9.5";"    13.5";"     7.3";"     0.7";"     1.8";"     5.0";"     8.3";"     4.4";"     5.9";"     1.9";"     5.4";"    35.7";"     2.0"
"191";"PV26  ";"2021JJ00";"     0.9";"     1.3";"     7.4";"    15.2";"     6.8";"     1.0";"     3.8";"     1.1";"     3.4";"    10.9";"     6.1";"     0.7";"     2.3";"     6.4";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.0";"    11.9";"    24.0";"     0.8";"     7.3";"    44.2";"    86.7";"     2.1";"     3.0";"     8.4";"    25.5";"     1.4";"     2.3";"    16.3";"    30.2";"     0.8";"     5.9";"    41.5";"    80.6";"     0.8";"     9.5";"    68.6";"   130.8";"     2.2";"     8.9";"    21.8";"    64.2";"     0.6";"     3.4";"    21.8";"    47.3";"     0.7";"     2.9";"    18.8";"    41.8";"     0.7";"     2.1";"    12.2";"    26.4";"     2.1";"     3.3";"     6.9";"    18.5";"     2.2";"     2.4";"     4.9";"    13.9";"     2.6";"     2.0";"     4.2";"    10.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     3.9";"     8.6";"     1.8";"     2.9";"    17.2";"     3.8";"     2.8";"     7.6";"    22.9";"     4.1";"     2.7";"     6.4";"    17.7";"     7.8";"     5.7";"     1.5";"     3.5";"     8.6";"     7.4";"     2.8";"     5.2";"     2.5";"     8.6";"    58.0";"     1.8"
"207";"PV27  ";"2021JJ00";"     0.8";"     2.3";"    15.2";"    32.7";"     5.0";"     1.0";"     3.6";"     1.4";"     3.6";"    10.3";"     5.2";"     0.9";"     2.4";"     6.3";"       .";"       .";"       .";"       .";"       .";"     0.7";"     2.9";"    19.0";"    40.8";"     0.6";"    14.1";"    97.2";"   209.2";"     2.2";"     3.6";"     9.8";"    26.0";"     1.1";"     6.9";"    56.5";"   121.7";"     0.7";"    10.4";"    80.1";"   173.8";"     0.6";"    22.0";"   174.7";"   380.1";"     1.8";"    68.8";"   148.3";"   285.8";"     0.5";"     5.2";"    36.5";"    80.5";"     0.6";"     3.2";"    22.7";"    50.6";"     0.6";"     2.3";"    14.7";"    32.6";"     1.9";"     5.6";"    12.2";"    32.3";"     2.0";"     4.0";"     8.7";"    23.7";"     2.5";"     3.5";"     7.7";"    19.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     3.5";"     7.8";"     1.7";"     2.7";"    11.9";"     3.0";"     8.6";"    18.8";"    40.5";"     3.6";"     8.0";"    18.6";"    36.9";"     6.9";"     4.2";"     2.4";"     5.4";"    12.2";"     4.9";"     2.6";"     3.8";"     4.4";"    13.1";"    57.1";"     1.9"
"223";"PV28  ";"2021JJ00";"     0.8";"     2.0";"    12.3";"    28.2";"     4.8";"     0.9";"     3.2";"     2.1";"     5.7";"    17.2";"     5.1";"     1.2";"     2.9";"     8.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     2.7";"    16.3";"    37.6";"     0.6";"    13.8";"    86.0";"   192.2";"     2.0";"     4.0";"    11.6";"    34.3";"     1.1";"     6.1";"    41.5";"    90.1";"     0.6";"     9.7";"    70.6";"   157.0";"     0.6";"    12.1";"    89.5";"   200.6";"     2.4";"    15.6";"    40.7";"   107.8";"     0.5";"     5.0";"    33.3";"    78.4";"     0.6";"     3.3";"    22.8";"    55.5";"     0.6";"     2.6";"    15.9";"    37.1";"     1.9";"     5.9";"    13.5";"    36.9";"     1.9";"     4.4";"    10.4";"    29.1";"     2.5";"     2.9";"     6.5";"    17.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.9";"     5.4";"     9.3";"     1.6";"     2.3";"    10.5";"     4.0";"     5.2";"    12.5";"    33.4";"     3.6";"     4.6";"    10.6";"    26.5";"     7.4";"     5.2";"     1.7";"     4.1";"    11.6";"     5.7";"     2.4";"     4.0";"     5.8";"    17.3";"    64.6";"     1.9"
"239";"PV29  ";"2021JJ00";"     1.4";"     0.7";"     2.5";"     4.1";"     8.9";"     1.7";"     6.8";"     0.7";"     1.2";"     2.0";"    10.6";"     0.3";"     0.6";"     0.9";"       .";"       .";"       .";"       .";"       .";"     1.2";"     1.1";"     4.0";"     6.5";"     0.9";"     4.3";"    15.0";"    22.6";"     6.5";"     0.5";"     1.0";"     1.8";"     1.9";"     1.7";"     6.8";"    10.3";"     1.1";"     3.6";"    13.8";"    21.3";"     1.1";"     4.5";"    17.4";"    27.5";"     2.6";"     6.2";"    16.0";"    37.9";"     0.8";"     1.8";"     6.2";"    10.7";"     0.9";"     1.7";"     6.2";"    10.9";"     0.8";"     1.4";"     4.7";"     8.1";"     5.1";"     1.8";"     2.8";"     5.3";"     5.3";"     1.5";"     2.1";"     4.1";"     6.2";"     0.7";"     1.1";"     2.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.5";"    16.8";"    25.0";"     3.4";"     5.6";"    89.3";"     4.1";"     0.7";"     1.8";"     4.6";"     8.9";"     1.0";"     1.9";"     3.0";"     9.4";"     9.3";"     0.3";"     0.6";"     1.1";"    10.4";"    10.5";"    11.9";"     2.1";"     3.3";"    12.5";"     1.7"
"255";"PV30  ";"2021JJ00";"     1.0";"     1.1";"     5.7";"    11.4";"     6.7";"     1.4";"     5.2";"     0.9";"     2.2";"     6.4";"     7.2";"     0.6";"     1.3";"     3.2";"       .";"       .";"       .";"       .";"       .";"     0.9";"     1.7";"     8.9";"    17.5";"     0.8";"     5.4";"    28.1";"    53.9";"     2.6";"     1.8";"     5.2";"    15.6";"     1.0";"     3.4";"    19.3";"    35.3";"     0.7";"     5.6";"    32.9";"    62.6";"     0.8";"     6.3";"    37.8";"    70.3";"     2.4";"     5.6";"    14.4";"    42.3";"     0.7";"     2.2";"    11.9";"    24.9";"     0.7";"     1.9";"    10.7";"    22.5";"     0.7";"     1.5";"     7.4";"    15.5";"     2.6";"     2.4";"     4.7";"    11.4";"     2.7";"     1.9";"     3.8";"     9.2";"     3.4";"     1.2";"     2.4";"     5.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.1";"     6.1";"    10.4";"     2.2";"     3.4";"    14.2";"     4.2";"     1.4";"     3.9";"    12.3";"     4.9";"     1.6";"     3.7";"     9.6";"     9.8";"     6.8";"     1.0";"     2.0";"     5.0";"     6.8";"     3.9";"     5.3";"     2.9";"     8.4";"    39.8";"     2.0"
"271";"PV31  ";"2021JJ00";"     1.0";"     1.1";"     4.8";"     9.9";"     6.7";"     1.5";"     4.6";"     0.9";"     1.8";"     4.7";"     6.7";"     0.4";"     0.8";"     1.7";"       .";"       .";"       .";"       .";"       .";"     0.9";"     1.5";"     7.2";"    14.4";"     0.7";"     5.0";"    24.5";"    46.8";"     2.9";"     1.8";"     4.0";"    10.6";"     0.7";"     3.7";"    19.2";"    37.5";"     0.6";"     5.3";"    27.7";"    53.6";"     0.8";"     6.2";"    34.3";"    65.0";"     1.9";"    10.8";"    27.4";"    93.3";"     0.7";"     1.7";"     8.8";"    18.7";"     0.8";"     1.3";"     6.3";"    13.2";"     0.8";"     1.2";"     5.8";"    12.2";"     3.0";"     1.9";"     3.8";"     8.9";"     3.0";"     1.6";"     3.2";"     7.4";"     3.4";"     1.1";"     2.2";"     5.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.5";"     3.9";"     7.7";"     2.1";"     3.4";"    24.7";"     3.5";"     1.6";"     4.0";"    11.4";"     5.3";"     1.1";"     2.2";"     5.0";"     7.9";"     5.2";"     1.0";"     2.0";"     4.6";"     8.2";"     3.7";"     5.2";"     2.7";"     7.4";"    23.7";"     2.5"
